SHIPMT_ID,ORIG_STATE,SCTG,SHIPMT_VALUE,SHIPMT_WGHT,EXPORT_CNTRY,WGT_FACTOR
2050,48,23,39630,1834,O,24
2088,41,35,26111,109,O,28.3
2128,4,20,1906,953,O,10.3
2149,37,33,50,50,M,144.2
2167,25,23,16137,440,O,141.6
2250,12,35,82595,225,O,55
2255,12,24,37097,48178,O,84.9
2270,40,33,3513,3874,C,265.2
2275,54,34,76560,129330,C,19.5
2291,36,38,311,9,O,162.8
2307,29,38,4938,14,C,280.4
2310,6,3,204228,46153,O,32.6
2317,39,34,2666,879,C,208.9
2337,55,35,81239,597,O,21.3
2367,48,34,1410,101,C,4121.1
2371,39,34,142526,47476,C,161.2
2372,12,23,457,25,C,1413.4
2389,6,31,8873,39171,O,29.6
2402,12,36,232,8,O,142.4
2418,18,34,33626,9498,C,47.2
2443,9,24,92726,25590,M,17.5
2445,12,38,704,2,O,704.4
2446,36,29,15,3,O,3219.8
2473,13,41,8975,57360,O,50.8
2481,36,20,13562,1228,O,249.5
2485,9,40,1829,2,C,154.5
2505,6,38,10146,66,O,203.4
2516,1,31,14505,47382,O,55
2547,17,33,1694,14,C,1014.9
2564,4,35,670,7,O,801.2
2566,13,37,242,7,O,246
2574,39,37,89772,7739,O,44.1
2610,53,24,8143,3238,C,33.8
2633,26,24,23232,46150,C,29.7
2635,27,4,9961,67049,C,850.3
2647,5,20,16213,48347,C,21.5
2658,25,35,401,5,O,458.7
2676,51,34,574,4,O,72.2
2680,37,39,46191,5641,O,13.5
2697,53,24,13413,6238,C,184.4
2721,29,34,1868,14284,O,121.7
2746,55,40,83493,42175,O,75.4
2769,55,30,1690,188,C,69.1
2788,29,32,2490,86,O,258
2805,42,38,1116,29,O,139.1
2822,26,40,4230,824,C,162.5
2837,49,38,100,1,O,358.3
2858,36,38,190,2,C,1599.1
2866,19,32,9035,3614,O,125.3
2881,27,33,14483,275,O,54.7
2885,20,38,1313,47,C,945
2915,42,38,6759,14,O,190.8
2949,6,24,119,5,O,832.5
2967,48,35,5367,16,O,52
2986,29,30,10987,508,O,215.2
3022,8,7,10354,35766,O,225.8
3029,6,3,108773,48343,O,21.5
3040,26,24,1,1,O,203.5
3058,6,38,260,11,O,2164.6
3083,24,34,6476,27,O,16.3
3129,39,40,9994,2534,C,770.8
3177,42,40,293,1,M,96.2
3179,5,20,219020,35767,O,86.1
3196,27,35,218306,23,O,3.8
3200,6,34,220,2,O,85.8
3225,4,20,231,1,O,2722.5
3234,53,35,22398,4,C,16
3242,6,30,3982,505,C,1211.4
3276,21,36,40186,37781,C,317.3
3306,39,99,13,2,O,3383.5
3321,8,37,2345,11,C,108.3
3367,39,40,581,14,O,601.7
3463,48,41,9338,48021,O,580.3
3472,34,35,2435,28,O,173.6
3486,45,35,571,3,C,2407.3
3599,31,31,21972,92063,C,17.2
3623,34,23,6139,4834,O,112.9
3671,34,29,3486,55764,O,1806.6
3729,13,27,17431,60643,O,179.4
3730,25,38,1888,207,O,6259.9
3744,12,35,77,5,O,1408.8
3756,48,31,10951,12377,M,22.6
3798,55,33,888,46,M,1239
3814,26,36,30546,2199,C,369.7
3818,12,28,60229,42624,C,124.7
3827,6,41,31692,38183,O,48.1
3830,48,40,45810,23735,M,26.5
3834,6,28,264,4394,O,210.5
3836,1,24,86719,36995,C,37.7
3895,26,40,3295,502,C,161.4
3898,48,35,81,11,O,430.7
3947,36,35,3426,3,O,53.2
3956,47,32,176,2,O,194.3
3974,12,36,787,5,O,142.2
3986,17,32,26583,44599,C,52.3
4021,26,37,459,1,O,267.4
4023,55,36,2536,980,C,438.7
4095,53,43,8207,7829,O,55195.8
4169,53,38,28668,23,O,56.7
4183,34,21,352389,9517,O,24.9
4266,55,30,249,6,C,129.4
4270,4,34,226976,18932,O,200.4
4273,46,24,4327,927,O,267.5
4288,12,40,66,14,C,247.7
4341,36,33,878,14,M,27.6
4410,6,41,8231,46904,O,96.1
4413,42,20,61600,36776,O,740
4425,13,13,6569,62963,O,384.8
4456,20,37,10341,70,O,76
4466,42,32,54754,35787,C,173.4
4468,48,35,41576,1098,M,310.5
4503,50,35,23028,22,O,224.8
4515,19,40,289,12,C,7.1
4534,42,34,198,11,C,295.1
4589,33,24,127,5,C,533.3
4638,48,23,14876,14898,C,68.3
4680,6,35,316,4,O,1501.8
4688,12,35,338,9,O,212.5
4711,21,30,84329,35537,O,15.5
4740,18,40,10322,1848,C,79.6
4742,47,32,26023,39761,O,47.9
4776,26,39,15650,2150,C,124
4779,26,36,116363,21639,C,141.2
4822,55,19,3295,1450,C,10.7
4825,39,23,781,670,C,587.1
4837,17,31,19875,30645,O,29.7
4858,17,29,550,22,C,960.6
4884,55,26,28235,38319,O,38.2
4899,9,30,40332,3317,O,12.7
4915,12,26,12800,25599,O,119.1
4939,39,43,90,5,C,77.6
4940,39,38,796,3,O,443.7
4944,54,31,1935,1172,C,18
4968,41,27,12082,33115,O,31.3
4979,51,23,90,1,C,16.9
4992,20,23,24145,36787,O,113.3
5026,21,20,22553,49030,C,7.3
5064,26,33,1133,1012,C,621.1
5098,32,23,28842,659,O,126.7
5100,25,38,4291,18,O,105.9
5122,42,38,4942,35,O,181.3
5143,19,23,1520,26,C,1257.5
5155,33,35,89908,88,O,60.6
5176,29,23,20,20,O,112.7
5184,53,12,590,54101,C,44.7
5191,34,37,1490,3,O,151.1
5198,45,26,7565,60627,O,132.6
5230,25,38,6996,46,O,62.2
5243,16,13,6046,40850,O,34.2
5268,17,24,60702,211138,C,127.4
5271,6,30,45,1,O,16216.3
5283,42,34,211299,35617,C,50.6
5300,12,35,3006,95,O,88.5
5324,4,35,546867,79,O,13.9
5341,55,27,13616,807,C,35
5378,42,40,20428,13,M,18.7
5416,46,40,1126,32,C,1519.9
5441,17,35,87185,2236,O,82.7
5455,13,40,1895,1,O,71
5468,54,38,137262,1858,O,29.1
5495,1,34,146860,29198,C,92.4
5512,42,32,34811,42454,C,78.8
5526,1,30,774,217,C,74.2
5572,12,26,1140,271,C,44
5579,48,24,72250,42375,C,141.3
5588,26,36,19814,5410,M,517.2
5595,37,30,11,2,C,302.3
5602,55,40,13077,1,O,142
5603,48,24,9969,16412,O,607.8
5634,24,33,93,8,O,2429
5635,34,7,100187,5811,O,248.1
5658,39,24,27663,10418,M,188.1
5659,56,36,197133,78305,C,30.1
5677,48,33,2916,2781,O,708.4
5703,18,27,1270,275,C,81.5
5715,8,35,67590,26,O,22.8
5720,6,2,12925,39317,O,394.8
5735,27,34,8738,3468,O,54.2
5742,6,40,180,7,C,494.9
5757,33,37,8267,18,O,128.3
5768,6,5,4788,484,O,125.1
5792,18,34,743238,11044,O,60.9
5799,27,32,88887,222632,C,9
5844,36,35,288571,2705,O,519.5
5846,34,34,151,1,O,228.2
5895,13,34,68190,16778,O,53.3
5913,6,34,442,10,M,21663.9
5923,8,40,7061,725,C,381.2
5927,37,30,97637,30996,O,26.3
5942,6,38,173,1,O,31.9
6002,18,36,468,120,M,974.2
6003,17,40,1746,154,C,2367.7
6041,26,34,275,5,C,10
6143,18,24,347,60,O,134.1
6144,9,36,31846,37379,M,76.8
6149,29,30,166,11,O,1501
6190,42,35,20,10,O,26.7
6291,21,26,14204,20833,O,36.5
6339,53,3,15813,9093,O,331.9
6350,4,35,47217,94,O,74.5
6352,55,36,318,2,C,3970.5
6363,48,33,108816,40920,M,22.1
6416,26,30,171,2,O,251.8
6417,25,27,119656,371648,O,351.4
6510,51,35,428592,281,O,36.8
6652,47,22,60395,48316,C,16.2
6679,12,35,5165,173,O,88.4
6707,36,30,3400,14,O,345.6
6713,1,20,33461,30196,O,9.2
6715,18,36,637836,130327,C,20.8
6730,37,34,15619,3824,O,175.8
6758,36,32,44377,29714,O,92.5
6792,25,35,40099,275,O,7.9
6809,39,34,4084,82,M,1017.2
6842,41,35,15,3,C,428.1
6852,8,28,97,49,C,13.8
6869,6,35,13374,2706,C,185.9
6872,4,35,27401,9,O,18.1
6874,27,35,9092,3,O,130.1
6899,51,6,26090,14666,O,392.6
6931,12,35,255,1,O,192.2
6935,8,35,9,2,C,2693.6
6958,6,34,2165,20,O,598.7
7020,42,37,19545,1976,C,50.5
7021,6,35,98824,747,O,571.3
7037,29,35,18,3,O,1750.9
7043,42,35,70616,9241,C,33.5
7067,9,31,889,3,O,374
7079,27,6,15830,16968,C,83.5
7125,18,38,18805,1485,O,409.9
7144,39,36,5948,452,C,53.4
7175,4,29,31483,7497,M,44.1
7280,55,24,5020,3157,O,20.5
7293,21,31,222251,34235,O,18.7
7332,29,41,13711,38163,O,75.5
7341,37,35,10980,576,O,68.8
7362,25,29,6071,77,O,710.8
7386,24,20,8235,2833,M,27
7399,25,35,1537,7,O,67.2
7402,17,34,56755,12616,O,275.7
7405,51,5,18117,26971,O,396.4
7431,28,30,12897,2174,C,23.1
7433,19,43,10358,1024,M,254.1
7472,53,30,48,12,C,32.7
7485,18,32,7549,50430,C,110
7491,17,33,493,22,C,975.4
7514,6,41,4771,27581,O,28.1
7523,18,32,1456,7,O,559.1
7564,39,26,37140,46378,O,6.5
7587,17,21,4819812,8659,O,49.7
7683,12,35,121,23,O,274.7
7698,29,36,68,176,C,127.2
7724,45,21,1139031,4180,O,30.8
7807,37,35,220,1,O,109.1
7809,26,36,16429,18678,C,183.5
7819,30,35,258191,11384,O,12.1
7832,6,4,64047,45185,O,47.3
7870,12,34,119,2,O,632.2
7876,8,35,1980,22,O,1811.7
7880,55,36,14674,1064,O,58.1
7909,53,33,649,7,O,7713
7927,6,31,24010,10,O,80.9
7931,53,32,12453,23,O,66.4
7952,42,34,347,14,C,185.6
7962,12,37,23021,12,O,298
7975,34,38,3621,4,O,97.9
7981,53,43,7555,279,C,122.2
7997,36,35,7081,3,O,132.7
8043,22,40,16344,577,M,132.9
8051,33,37,212113,165,O,30.2
8054,18,36,148325,13103,M,175.2
8065,32,20,143594,45987,O,57.5
8071,51,34,7959,911,O,46
8082,12,43,4729,559,O,152.7
8097,1,24,50941,45893,O,211.2
8129,26,32,15377,1068,O,57.3
8147,39,24,37218,38701,M,77.7
8152,47,27,52914,39200,O,25.4
8175,47,35,7,1,O,5957.3
8177,47,20,51600,50250,O,152.1
8181,35,4,14089,48416,M,62
8185,6,37,498,4,C,514.3
8187,41,32,17156,46875,C,510.3
8198,39,20,283,121,O,53
8204,50,33,19721,2379,O,27.5
8245,18,40,47722,44131,C,17.4
8276,53,7,22306,45353,C,13.8
8284,18,24,226,57,C,650.5
8298,48,20,75582,46988,O,120.7
8328,12,34,93947,12114,O,31.5
8353,45,28,8241,39245,C,39.7
8362,34,19,502,134,O,110.4
8370,36,33,7181,59,O,61.5
8375,50,33,2825,16,C,30.3
8477,18,40,35937,11061,C,79.7
8496,18,43,510,51,C,348.8
8500,28,5,18772,36099,O,321.6
8587,39,35,1443,9,O,354
8624,39,32,24803,49606,C,90.2
8627,41,24,28376,21034,C,14.4
8643,39,23,12354,390,O,146.6
8666,26,41,93999,41036,O,86.5
8674,40,34,20570,4081,C,26.4
8690,26,39,2301,451,C,264.1
8744,25,31,28374,198,O,121.3
8775,6,35,2766,27,O,360.9
8785,12,34,5631,1295,O,424.4
8786,47,27,55255,39463,O,26.5
8817,51,36,105127,7488,O,55.5
8858,39,34,24644,8341,C,255.3
8885,6,41,7114,38254,O,47.7
8886,22,19,47860,52360,M,46.7
8899,12,36,2744,103,O,151.2
8901,39,32,25487,34677,O,40.7
8906,37,27,14543,44140,O,92
8909,48,34,11828,663,O,3391.3
8912,6,33,191,30,C,6593.8
8970,48,4,47205,43911,O,110.4
8971,50,26,93420,91878,C,15.3
8979,48,35,1332,5,C,403.3
8983,42,24,24686,6703,O,64.3
8984,12,40,3337,333,O,539.4
8999,36,30,6795,2635,O,62.3
9051,37,35,402,35,C,305.2
9058,18,24,3033,242,M,832.2
9062,48,35,2592,6,O,386.4
9101,38,36,3565,289,C,59.3
9103,42,35,94518,2104,O,62.1
9183,51,24,10031,44701,O,310.5
9188,31,4,62654,44810,O,26.6
9200,17,34,1452,245,M,102.8
9279,23,22,4244,2324,C,40.2
9308,39,30,438,29,C,6209
9351,8,38,14906,515,O,299.3
9398,53,29,237,20,C,102.7
9411,37,33,87,4,M,294.7
9472,9,7,56,7,O,20.4
9491,27,38,115,2,O,489
9523,17,29,396,154,C,162.9
9549,37,38,62,1,C,1959.6
9649,47,40,431,38,C,346.8
9655,42,40,54,1,C,75
9721,26,31,5226,12520,C,125.5
9735,36,19,19704,45225,C,14.8
9739,32,4,33184,28570,C,91.6
9751,26,36,4950,868,C,190.7
9760,55,31,1101,258,O,328.3
9810,47,29,182,21,C,603
9892,34,35,4467,11,C,1604.3
9895,39,43,824,9,O,2040.1
9896,47,30,1,1,O,14.4
9906,5,33,130,81,C,792.1
9923,24,35,4035,3,O,37.6
9953,55,24,2585,10,O,3367.1
9968,37,11,101004,38115,O,1.8
10033,36,34,505,88,C,627
10036,4,35,1215,14,O,70.3
10039,4,35,20438,356,C,5692.8
10045,32,35,1004,47,O,196.5
10047,12,23,654,406,O,27.7
10075,42,38,3429,36,O,95.7
10092,40,31,7153,38391,O,109.8
10110,36,27,36257,9102,O,36.7
10137,27,34,30,2,O,1634.8
10163,44,30,35090,195,O,36
10178,13,20,28763,36094,O,369.7
10181,6,32,3035,5216,M,99.9
10190,6,35,439,9,O,9172.9
10219,30,19,233,185888,C,183.3
10221,12,34,6501,150,O,354.2
10222,29,32,38798,204489,M,146.8
10248,42,32,3799,152,O,521.8
10250,36,7,8723,2867,O,327.3
10260,42,31,22338,31099,C,55.5
10285,48,7,21342,37889,C,2691.3
10340,44,23,936,1,C,233.6
10379,33,34,13281,164,O,343.2
10380,34,32,34076,18030,C,131.3
10435,6,33,28244,43285,O,34.7
10455,39,5,95966,16285,C,88.2
10458,25,24,1057,74,O,214.7
10461,54,38,685,1,O,63
10482,20,20,25585,36096,M,22.1
10547,48,33,408,115,M,413.7
10568,27,35,1249,13,O,300.5
10579,37,24,1444,461,M,122.5
10607,13,33,761,26,C,2697.3
10609,12,35,5277,49,O,234.9
10639,25,38,13140,70,C,60.6
10648,37,30,58973,36858,C,76.9
10720,36,34,6155,298,O,246.4
10769,19,4,174294,43903,C,27.6
10789,32,30,2488,106,O,14
10855,36,38,4005,11,O,99.7
10895,6,35,16565,7919,O,583.9
10924,17,34,34022,902,C,169.9
10938,45,23,780,866,C,256.1
10961,49,7,39623,398,O,36.3
10980,25,33,2699,18049,O,241.7
11023,51,38,302,3,O,445.7
11025,6,38,7174,12,O,218.8
11045,17,36,266226,24651,O,93.9
11074,6,40,1515,123,O,272.2
11100,48,35,26856,7705,M,114.2
11140,53,20,12059,50245,C,16.9
11142,13,5,16165,20831,O,30.7
11170,6,41,3755,51781,O,570.3
11217,6,35,306191,94,O,43.9
11231,55,24,51776,46645,O,147.8
11249,48,33,6714,1507,M,22.5
11282,6,21,442191,5114,O,122.5
11360,13,13,7157,28049,O,59.3
11377,6,6,22093,38049,M,397.3
11388,13,23,10448,4839,O,168.2
11519,27,29,84,31,C,10757.8
11523,48,32,80150,43012,O,10.7
11525,12,30,1129,549,O,782.9
11526,37,36,88735,35180,M,32.1
11527,27,32,32321,52131,C,21.5
11540,26,6,19572,23227,C,75.9
11542,6,41,4159,39949,O,378.8
11543,27,35,259,3,O,314.2
11554,41,29,63,26,O,728.5
11555,42,32,290834,48333,O,19.9
11563,6,35,2532,13,O,91.5
11603,48,35,2801,41,C,1306.2
11604,53,33,10118,14,O,88
11612,48,33,51220,44842,M,22.6
11613,29,32,28,20,C,1202.1
11614,18,35,1073,193,C,190
11640,29,30,77267,18917,O,26.8
11758,12,40,1639,13,O,1623.8
11763,6,37,8049,5,O,36.9
11769,26,26,9909,39712,O,40
11776,55,23,657,369,C,620.2
11781,31,34,78441,11846,O,95.6
11793,12,5,1999,519,O,1940.4
11813,9,35,4585,4,O,42.8
11832,34,35,3901,5,O,80.9
11876,25,30,552,24,O,922.6
11900,53,34,861,42,C,101.5
11906,12,36,1563,66,O,266.4
11934,48,35,647,7,C,76.8
11943,48,20,24189,178074,M,64.2
11997,26,36,84025,20227,M,115
12004,9,41,33014,40435,O,118.9
12010,40,32,5979,1475,C,106.8
12036,41,29,1,1,O,62
12040,25,21,31959,254,O,172.1
12053,48,5,38551,37908,M,66.1
12076,17,4,6221,47313,O,43.9
12144,25,27,9548,45844,C,60.4
12275,6,38,1183,2,O,216.4
12403,55,36,1799,162,M,471.9
12417,42,14,1592,61,O,186.1
12446,49,38,20428,155,O,54.5
12506,37,34,56998,24374,C,39.5
12509,6,33,139,26,O,251
12539,26,33,124,1354,O,1024.1
12580,27,35,468,5,O,737.7
12615,48,43,121385,44580,M,46.8
12654,53,4,10380,48146,O,88.6
12723,4,23,519,40,C,29.7
12763,26,36,7589,4778,C,1870.3
12781,45,20,403,1,O,1375.8
12822,4,38,526,4,O,77.7
12874,34,34,2067,61,O,23.3
12891,22,23,73121,137964,C,26.3
12904,4,34,666,1,O,44.1
12941,51,30,226,9,O,1277.4
12971,53,18,125846,201600,C,3.5
12974,47,36,43898,8026,C,155.1
12987,6,35,1,1,O,130.8
13017,26,36,29563,1046,C,224.1
13019,18,24,37331,44541,O,2264.6
13043,6,30,1394,132,O,1232
13063,22,31,67723,108,O,102.7
13142,27,34,214442,21123,C,25.1
13156,17,41,88340,40303,O,25.3
13162,26,36,12120,8172,C,230
13176,4,37,271,47,O,166.2
13177,6,34,72711,5344,O,10.5
13182,22,43,5487,674,O,112.7
13216,39,38,26090,215,C,290.9
13225,18,31,8612,6035,C,52.8
13234,36,35,67078,11626,C,232.8
13239,12,34,45,9,O,667.3
13285,36,35,1607,5,O,121.9
13293,12,22,9001,11028,O,40
13301,47,23,13134,1689,C,535.4
13324,36,41,1854,12641,O,67.4
13346,26,24,5431,1352,O,1153.7
13358,41,41,422,247,O,20.5
13361,37,5,65772,59254,O,151.4
13375,53,26,18588,58782,O,69
13394,45,35,192,10,O,706.7
13396,34,4,23710,38817,O,44.5
13403,39,34,531,3,C,125.3
13500,29,24,14198,10199,C,28.4
13512,6,24,346,20,O,5674.2
13550,42,37,39190,6848,O,1065.4
13556,47,30,47406,1672,O,25.8
13564,1,22,17245,89121,C,67.2
13565,55,34,3216,68,O,5970.1
13572,12,24,2484,1198,O,680.5
13574,40,31-34,5416,7,O,321.1
13583,39,35,2313,285,C,987.3
13602,22,20,52538,16948,O,14.6
13620,25,38,8413,9,O,208.6
13621,24,7,604068,28201,O,548.9
13633,33,43,63,4,O,480
13664,36,38,11645,42,C,45.3
13752,12,23,2084,462,O,51.1
13825,13,21,83391,417,O,67.4
13848,17,37,40039,67143,O,106.9
13851,48,38,112,3,C,2432
13856,37,30,25195,9796,O,455.9
13878,22,27,17571,42412,O,353.1
13894,19,35,5,1,O,186.9
13972,48,23,112827,4785,C,24.1
14062,22,35,1527,63,O,898
14069,34,35,9,1,O,233.1
14075,1,34,577,80,O,40.6
14124,37,24,19675,44717,C,34.2
14200,17,35,108,1,O,12526.6
14249,27,37,2814,2,O,169.9
14251,13,11,3356,51748,O,227.1
14261,12,43,14641,794,O,65.1
14276,23,27,162503,40646,O,49.4
14295,25,27,27044,11268,C,23.7
14296,29,41,24870,42153,O,34.8
14314,37,5,29054,58108,O,149.7
14323,18,40,27,1,O,30.5
14384,39,31,25519,44534,C,11.9
14391,39,33,1945,28,O,175
14393,34,38,373859,354,O,8.5
14411,21,35,1617,659,O,33.1
14415,25,35,6,1,O,831
14417,4,35,437,7,C,60.5
14421,37,24,76836,32120,M,74
14497,4,23,9209,1975,M,548.5
14559,55,17,66443,209768,C,132.3
14573,19,33,38401,45533,C,214.8
14632,16,26,100862,184766,C,55.1
14692,9,29,2611,199,C,278
14727,13,34,7238,1823,O,824.6
14756,37,30,125406,34605,O,16.8
14760,18,35,5417,90,O,803.9
14809,31,38,1501,10149,M,292.2
14825,49,28,70,1,C,7209.4
14826,42,35,927,115,O,232
14841,47,36,1806,361,C,309.4
14892,42,26,14147,39797,C,50.3
14932,48,24,4188,10270,O,606.5
14938,12,34,1242,23,C,756.9
14948,1,27,35173,3447,M,122
14966,42,31,5874,37375,C,364.3
15025,42,15-19,325033,1444656,O,45.7
15046,12,35,1,6,O,187.3
15053,6,40,2894,22,C,2809.3
15071,26,39,1032,344,C,437
15093,42,35,104,1,O,344
15100,53,35,113393,5833,O,18
15107,37,21,94,8,O,4352.1
15127,53,26,40021,194040,O,39.5
15128,12,18,1,1,O,184.1
15154,6,35,143,1,O,176.1
15256,6,41,5593,58717,O,29.3
15271,39,34,19143,40,O,90.5
15291,6,33,474,18,O,39.5
15326,25,35,42130,428,O,290.1
15410,28,30,33,2,C,2267
15430,48,24,35538,47773,O,142.2
15439,6,37,7159,16,O,136.2
15441,27,38,22,1,C,651.6
15473,42,37,99,1,O,2212.4
15482,46,36,26141,6060,C,153.3
15488,18,20,4895,2131,M,13.7
15586,39,32,5864,10924,C,42.3
15589,12,36,1844,35,O,315.6
15637,36,32,1326,1936,C,752.6
15646,51,26,12612,13495,C,30
15653,34,7,17606,40518,C,406.6
15655,34,24,3950,90,O,30.2
15663,39,40,537,6,O,659
15695,35,24,110,24,C,30.8
15702,29,33,52547,49645,C,21.7
15714,6,20,155274,145116,O,116.4
15721,36,34,12086,292,O,137.4
15753,4,37,4027988,20358,O,20.8
15788,6,23,948,33,O,2625
15833,6,24,144,64,O,658.7
15843,26,24,86,10,O,111
15853,12,38,885,96,C,1102.5
15935,9,43,163,10,O,938.9
15950,6,35,235245,9523,O,277.6
15980,53,26,22949,23430,O,57.6
16030,53,20,153504,23968,O,13.6
16053,6,3,25,2,O,260.4
16079,39,32,42723,9030,O,654.8
16088,42,34,31222,1348,C,24.6
16093,18,24,28639,5468,M,41.6
16110,36,35,11655,144,O,2068
16156,25,35,13281,5,O,211.2
16182,42,32,13084,42515,C,66.7
16189,47,26,19549,39605,O,177.5
16322,28,27,13918,46836,O,78
16326,34,23,27090,13545,O,356.4
16344,36,24,67949,15769,C,17.7
16383,36,35,232,3,C,30.6
16391,39,40,3440,4,C,211.2
16419,13,34,66931,14785,O,54.5
16433,6,35,636,4,M,562.9
16457,12,35,17281,5,O,202.8
16482,36,35,6164,41,O,6200.8
16491,39,34,46,12,C,982.6
16508,53,22,85302,213146,M,4.3
16568,6,40,932,14,C,799.6
16570,32,40,22438,14587,C,15.2
16620,37,40,784,4,C,67.4
16648,41,36,9042,10787,C,112.9
16684,47,35,2027,11,O,93.1
16755,4,35,22,1,O,1302.4
16758,39,24,635,156,O,106.2
16772,36,29,556,8,C,262.1
16785,9,33,95985,36659,M,24
16818,13,37,522,2,O,232.1
16828,34,38,950,4,O,788.4
16844,13,20,137,33,O,23.8
16936,45,24,5238,9030,O,79.8
16941,45,20,58965,48332,C,1166.3
16950,45,24,963,61,O,156.2
16962,40,36,3377,299,C,53
17003,9,41,3440,53882,O,1153.7
17013,36,34,4515,77,O,110.2
17028,12,35,161,2,O,493.2
17037,56,38,3759,3,O,120.4
17040,42,24,1327,172,C,243
17060,34,30,158125,122111,O,59.2
17132,13,21,3169,3,O,24.3
17158,25,32,6973,41108,O,241.5
17173,55,35,4411,166,C,459.7
17207,17,27,33004,20947,C,38
17226,37,3,43297,49296,O,200.6
17255,21,32,55497,41858,O,261.9
17262,6,23,146947,15188,O,218
17267,18,33,37853,13574,C,20.7
17271,29,35-38,1705415,252841,C,20.3
17284,49,38,3708,5,O,55.1
17334,39,31,22358,21081,O,103
17368,22,34,640,14,O,14.5
17388,22,40,1617,29,O,776.8
17389,44,24,68557,655,O,40.6
17427,12,34,5773,1685,C,21.4
17444,41,35,16317,4,O,120.3
17474,25,35,2465,28,O,47.9
17496,42,40,3430,2084,C,1496
17500,24,30,702,61,M,72.8
17575,27,35,14166,4,O,3.8
17587,39,34,178,3421,O,64.6
17596,36,26,18327,48070,O,25.9
17606,34,30,1066,14,O,407
17640,16,40,233,4,C,108.5
17652,23,27,4654,12066,C,455.6
17696,13,31,115147,2054,O,39
17704,12,39,983,133,O,352.1
17718,45,35,1018,14,M,312.2
17741,21,43,13026,280,C,17.2
17767,22,4,25994,49832,O,154.7
17800,34,21,84964,455,O,62
17859,4,35,104678,20,O,28.8
17885,45,40,268,35,O,1684.1
17909,36,34,686,15,O,108.6
17960,29,7,16031,3861,C,281.5
17969,23,27,181,26,O,30.9
18000,39,20,68528,942,O,184.7
18006,48,30,3508,143,O,43.5
18011,48,32,6075,12191,M,880.7
18063,37,30,49696,17257,M,32.5
18201,41,31,2445,604,C,104.4
18233,47,35,246,21,M,250.8
18237,25,35,670,5,O,261
18277,26,34,1077,2,O,382.5
18308,12,24,24422,6322,O,69.1
18339,12,5-Jan,2408,344,O,306.1
18439,6,21,49,1,O,11897.1
18469,55,38,263,1,O,2141.2
18482,42,43,9061,6987,C,65.7
18504,24,35,12833,329,O,10.8
18543,42,26,4697,50272,O,45.3
18545,17,34,2068,120,M,95.2
18552,4,37,5404,12,O,97.9
18579,48,35,994,8,C,9898.4
18581,12,35,426,10,O,1112
18628,37,35,88642,19,O,16259.9
